index_label,0,1,2,3
"[905.0, 425.0]",0.24843337138799712,-0.12705769761925467,-0.08976021826734228,-0.12179499682519956
"[815.0, 425.0]",0.11313595505884258,-0.1473132500614626,-0.1329333905832122,-0.15421331944826785
"[725.0, 425.0]",-0.20414951186190555,-0.19765538575278915,-0.06977902003182909,-0.19205435208677835
"[635.0, 425.0]",-0.21289054499976567,-0.21434390545555834,-0.1849334690038548,-0.20665929889600365
"[545.0, 425.0]",-0.21429813328330358,-0.22950439192561997,-0.2290283687069264,-0.2819748629086438
"[995.0, 425.0]",0.3150159826567509,-0.10147307766830935,-0.0525305629146807,-0.07340678484663361
"[1085.0, 425.0]",0.5399523553906518,-0.0649546042060661,-0.005451271710667835,-0.05120999084690264
"[1175.0, 425.0]",0.6673955493166831,-0.04167983380093023,-0.16908329625797072,-0.023685123883916796
"[905.0, 335.0]",-0.2286211967973087,-0.09479723510530812,0.4443022020580286,-0.09490138897599754
"[905.0, 245.0]",0.12498112643288468,-0.024161676541542085,-0.016759256992555604,-0.023655877146689874
"[905.0, 155.0]",0.16454125568517838,-0.19302527156423097,0.803092962860703,0.00103554543171643
"[905.0, 65.0]",-0.13098714343040876,0.02181979867103668,0.9672710474966486,-0.03042341096621164
"[905.0, 515.0]",0.07757809665924723,-0.15082638596131512,-0.1295048556129404,-0.1275276560562333
"[905.0, 605.0]",-0.06378735684189481,-0.17399294420781308,-0.20917534509513844,-0.18151616656706976
"[905.0, 695.0]",-0.19690282138868515,-0.26312948745860265,-0.1874180089442696,-0.2007476929553031
"[815.0, 695.0]",-0.2132698902356256,-0.25262487778353043,-0.2130254218212402,-0.21360168353924996
"[725.0, 695.0]",-0.2388774865112709,-0.29331017049049996,-0.21405723239495722,-0.2642524963468297
"[635.0, 695.0]",-0.12274982442444092,-0.12417325511301358,-0.1279608111442941,-0.12636806291623376
"[545.0, 695.0]",-0.2843750678446324,-0.3303124200883472,-0.3192334780945815,-0.31643811074317557
"[725.0, 605.0]",-0.2551795884327311,-0.2360137531624433,-0.23119560305842785,-0.23985520265136612
"[725.0, 515.0]",-0.07955352097730471,-0.0829214901301577,-0.07948829256575063,-0.0808325857725264
"[725.0, 335.0]",-0.051343454875452096,-0.05412203521726462,-0.047161662936259285,-0.04990041727245173
"[725.0, 245.0]",0.07906107355654439,-0.1596491149921471,-0.1146247238964736,-0.11752241426357445
"[725.0, 155.0]",-0.05585478317323005,-0.10042282223458494,0.44975447285058073,-0.09705622790091278
"[725.0, 65.0]",-0.21332317350985538,-0.08247046178813383,0.46159158731085753,-0.11251961568663113
"[635.0, 605.0]",-0.26486315230463897,-0.27114695491204094,-0.27422303642604956,-0.2730328570387544
"[545.0, 605.0]",-0.2780298265547298,-0.281384974983881,-0.28717368017121636,-0.2994776127649437
"[815.0, 605.0]",-0.17425561231964196,-0.19060493968213463,-0.15147416527334867,-0.19432743009181203
"[3, [1085.0, 515.0], [905.0, 605.0]]",0.0,0.0,0.0,0.0
"[3, [995.0, 515.0], [905.0, 605.0]]",-0.007915311290167367,-0.004980900953062669,-0.0075,-0.007726664349354109
"[3, [995.0, 515.0], [995.0, 605.0]]",-0.0004,0.0,-0.0007477533044080284,-0.0029179583503154646
"[3, [905.0, 515.0], [995.0, 605.0]]",-0.0004,0.0,-0.0004,0.0
"[1085.0, 605.0]",0.1319815265338299,-0.1314487764117545,-0.11300775637999502,-0.18253858876670218
"[1175.0, 605.0]",0.17275572911680395,-0.11914852303304481,-0.15565518939985107,-0.11251848293831909
"[995.0, 605.0]",-0.05137451082582599,-0.0576213686327527,-0.05761927375057638,-0.05420479599514496
"[2, [815.0, 515.0], [905.0, 605.0]]",0.0,0.0,-0.0075,0.0
"[2, [905.0, 515.0], [905.0, 605.0]]",-0.0004,0.0,0.0,-0.0029
"[3, [905.0, 515.0], [815.0, 605.0]]",-0.0150401685450564,-0.020089414581184115,-0.014799900845563999,-0.023932104241556805
"[3, [815.0, 515.0], [815.0, 605.0]]",-0.0075,-0.010068288218843672,-0.010606683113125825,-0.0075500742747063865
"[3, [815.0, 515.0], [725.0, 605.0]]",-0.007851623759754735,-0.003984594079181852,-0.008155571146774385,-0.0004
"[3, [725.0, 515.0], [725.0, 605.0]]",-0.01,0.0,0.0,-0.0029
"[3, [725.0, 515.0], [635.0, 605.0]]",0.0,0.0,0.0,-0.0004
"[3, [635.0, 515.0], [635.0, 605.0]]",-0.0004,0.0,0.0,-0.0029
"[3, [635.0, 515.0], [545.0, 605.0]]",-0.00931461906403358,-0.0021303854040060606,0.0,-0.010900000000000002
"[3, [545.0, 515.0], [545.0, 605.0]]",-0.026032799895403212,-0.019729465786555617,-0.0233672323771389,-0.023900618499538756
"[635.0, 335.0]",-0.04802031217552857,-0.1958644777666831,-0.22650391699434216,-0.19433151445649136
"[635.0, 245.0]",0.11725094104055377,-0.17149717086844926,-0.14301725262497725,-0.21741938224266838
"[0, [545.0, 65.0], [635.0, 155.0]]",-0.003296,-0.0040605089994371875,-0.0008121761830031975,-0.00901774007456508
"[0, [545.0, 65.0], [635.0, 65.0]]",-0.010900000000000002,-0.0029,0.0,-0.0004
"[1, [545.0, 65.0], [545.0, 65.0]]",0.0,0.0,0.0,0.0
"[1, [545.0, 155.0], [545.0, 65.0]]",-0.010900000000000002,-0.0004,0.0,-0.010900000000000002
"[2, [545.0, 155.0], [545.0, 65.0]]",0.0,0.0,0.0,0.0
"[2, [635.0, 155.0], [545.0, 65.0]]",-0.010900000000000002,-0.004701366489899868,-0.0015878567039415922,-0.02216440413349862
"[545.0, 65.0]",-0.1874846947899039,-0.18400838962218366,-0.056349761846782996,-0.20002194507820384
"[545.0, 155.0]",-0.16342816967044482,-0.19193100912472527,-0.1690331352821972,-0.20404498417357278
"[545.0, 245.0]",-0.08979299103418252,-0.09287023717940099,-0.09570119116529285,-0.12456787142847253
"[545.0, 335.0]",-0.24175393285100713,-0.2248128476151491,-0.16046577676338908,-0.38568772680456237
"[545.0, 515.0]",-0.25187177320668064,-0.25558834932197483,-0.2539179516037441,-0.276994341394934
"[3, [725.0, 65.0], [545.0, 65.0]]",0.0,0.0,0.0,0.0
"[3, [635.0, 65.0], [545.0, 65.0]]",-0.018000000000000002,0.0,0.0,-0.01847340413349862
"[2, [545.0, 65.0], [545.0, 65.0]]",0.0,0.0,0.0,0.0
"[2, [635.0, 65.0], [545.0, 65.0]]",-0.010900000000000002,-0.0029,0.0,0.0
"[635.0, 155.0]",-0.11814716444329877,-0.15371810551919887,0.2821497949772852,-0.13245739168396395
"[815.0, 155.0]",0.042525821409651374,-0.053170982296928966,0.603275965112807,-0.04691164430536074
"[815.0, 65.0]",-0.24656638153194613,-0.01784459420689547,0.7183562522405912,-0.07850308611208155
"[635.0, 65.0]",-0.20884788927400705,-0.1298007306693851,0.17492589777807457,-0.13873477942586415
"[3, [815.0, 335.0], [815.0, 245.0]]",0.010056958048129084,-0.01,-0.0075,-0.0029
"[3, [725.0, 335.0], [815.0, 245.0]]",0.0,-0.0004,0.0,0.0
"[0, [725.0, 335.0], [815.0, 335.0]]",0.0,-0.001448626243629728,0.0,0.0
"[0, [725.0, 245.0], [815.0, 335.0]]",-0.0004,-0.0004,0.0,0.0
"[815.0, 515.0]",-0.11067670532218554,-0.16662970794556994,-0.16424239403336435,-0.20290594975097517
"[815.0, 335.0]",-0.09782704034176448,-0.14226401866801736,0.2678367672050383,-0.2097328321732962
"[815.0, 245.0]",0.21261901739742198,-0.10485840514483205,-0.10828209772588669,-0.10609881268043227
"[995.0, 155.0]",0.20561770565172163,0.04017101375026488,1.0025836302860092,0.06237879417530289
"[1085.0, 155.0]",1.2730021114561587,0.33904268285401823,0.6279744891146467,0.32752825544626607
"[1175.0, 155.0]",1.445645463351865,0.16488591432772767,-0.02795762584404044,0.2058909300281854
"[1175.0, 65.0]",0.009495741912672304,0.5668868626819971,0.007457139121787617,0.01963789752406882
"[2, [635.0, 335.0], [815.0, 335.0]]",0.0,0.0,0.0,0.0
"[2, [725.0, 335.0], [815.0, 335.0]]",-0.0004,0.0,0.0,-0.0075
"[2, [725.0, 335.0], [725.0, 335.0]]",0.0,0.0,0.0,0.0
"[2, [815.0, 335.0], [725.0, 335.0]]",0.0,0.0,-0.0004,-0.0004
"[635.0, 515.0]",-0.2543465610939715,-0.26525153705359233,-0.2763215655068109,-0.2654470457984155
"[995.0, 515.0]",0.023570776290629505,-0.15500568311855537,-0.10697489132552675,-0.12798054207604675
"[3, [995.0, 695.0], [815.0, 605.0]]",0.0,0.0,0.0,0.0
"[3, [905.0, 695.0], [815.0, 605.0]]",-0.003925442681997357,-0.0075,-0.0008722195592014774,-0.0004
"[1, [815.0, 695.0], [905.0, 695.0]]",-0.0004,-0.010900000000000002,-0.0004,-0.0029
"[995.0, 695.0]",-0.21108676805398296,-0.21484798330805147,-0.14532541999768328,-0.18660808852854288
"[1085.0, 695.0]",-0.02103054577311542,-0.1818290106820334,-0.1524289472078517,-0.17561427933721188
"[1175.0, 695.0]",-0.045483948789533456,-0.19994095756868396,-0.20048018066479506,-0.15447118209227767
"[1175.0, 515.0]",0.4253308066025236,-0.09408370024485849,-0.17189745010093888,-0.05940805590809315
"[1175.0, 335.0]",0.942102693087132,0.020446297808193323,-0.1353726590698715,0.042522828231866115
"[1175.0, 245.0]",1.1988874814183528,0.04983175004496808,-0.10780020831935898,0.09272811343642451
"[1, [815.0, 245.0], [725.0, 335.0]]",0.0,-0.0004,-0.00037642910261394865,0.0
"[1, [815.0, 335.0], [725.0, 335.0]]",-0.0004,0.0,0.0,0.0
"[995.0, 245.0]",0.009226598707507853,-0.02764477602241706,0.5638719250251897,-0.09872139586452701
"[3, [815.0, 605.0], [635.0, 605.0]]",0.0,0.0,0.0,0.0
"[3, [725.0, 605.0], [635.0, 605.0]]",-0.02276372229089919,-0.01566520747871797,-0.01333443809743985,-0.015545602427844689
"[3, [725.0, 605.0], [635.0, 695.0]]",0.0,-0.018000000000000002,-0.0004,-0.0029
"[3, [635.0, 605.0], [635.0, 695.0]]",-0.00118804,-0.03652836506983678,-0.00814646936121132,-0.005978743887983814
"[3, [545.0, 605.0], [635.0, 695.0]]",-0.024377628629723546,-0.035820000000000005,-0.016233948800209595,-0.020877276354011626
"[1, [1175.0, 335.0], [1085.0, 515.0]]",0.0,0.0,0.0,0.0
"[1, [1175.0, 425.0], [1085.0, 515.0]]",0.0,0.0,-0.0004,0.0
"[3, [1175.0, 425.0], [1175.0, 515.0]]",0.0,0.0,0.0,0.0
"[3, [1085.0, 425.0], [1175.0, 515.0]]",0.0021081202087894326,-0.0031841501561439057,-0.010900000000000002,-0.003859907896371199
"[995.0, 335.0]",0.06321165485597069,-0.017382311687119265,0.5900217836845126,-0.047375516953839895
"[1085.0, 245.0]",1.029497896889203,0.098502096056415,0.3044229943000034,0.06460725313853423
"[1085.0, 515.0]",0.3455339993274848,-0.09839227354267978,-0.061847416936142256,-0.08994228238896758
"[2, [905.0, 425.0], [1085.0, 335.0]]",0.0,0.0,0.0,0.0
"[2, [995.0, 425.0], [1085.0, 335.0]]",-0.0029,0.0,0.0,0.0
"[1085.0, 65.0]",0.025542198559156463,0.45629488472065305,1.4927329658222437,0.5403565391570807
"[995.0, 65.0]",-0.09490389778542155,0.15302959999212287,1.209834854727289,0.034210813676075175
"[0, [1085.0, 245.0], [995.0, 65.0]]",0.0,0.0,0.0,0.0
"[0, [1085.0, 155.0], [995.0, 65.0]]",-0.010900000000000002,-8.421696842541172e-05,-0.01,0.007542308702463094
"[0, [1085.0, 65.0], [1175.0, 65.0]]",0.0,0.0,-0.0005000000000000004,0.0
"[1, [635.0, 245.0], [635.0, 425.0]]",0.0,0.0,0.0,0.0
"[1, [635.0, 335.0], [635.0, 425.0]]",-0.004361888029,-0.011075190788414676,-0.005136775468304791,-0.004913219516131535
"[0, [635.0, 335.0], [635.0, 335.0]]",0.0,0.0,0.0,0.0
"[0, [635.0, 245.0], [635.0, 335.0]]",-0.0029,-0.004237056511660584,-0.0075,-0.0008416671495695915
"[0, [635.0, 245.0], [635.0, 245.0]]",0.0,0.0,0.0,0.0
"[0, [635.0, 155.0], [635.0, 245.0]]",-0.000796,-0.0004,-0.0009323996310851868,-0.0075
"[0, [635.0, 155.0], [635.0, 155.0]]",0.0,0.0,0.0,0.0
"[0, [635.0, 65.0], [635.0, 155.0]]",-0.0075,-0.001559924509264034,-0.0004,-0.0023694688358517784
"[2, [635.0, 65.0], [635.0, 65.0]]",0.0,0.0,0.0,0.0
"[2, [725.0, 65.0], [635.0, 65.0]]",-0.010900000000000002,-0.0029,-0.0004,-0.004258550618058855
"[3, [815.0, 155.0], [635.0, 245.0]]",0.0,0.0,0.0,0.0
"[3, [725.0, 155.0], [635.0, 245.0]]",-0.011479990281966423,-0.014770680832596892,-0.018658787643483117,-0.015449883688711571
"[0, [995.0, 245.0], [995.0, 65.0]]",0.0,0.0,0.0,0.0
"[0, [995.0, 155.0], [995.0, 65.0]]",-0.012879002641456805,-0.0075,0.01983304150070829,-0.0010307125785089038
"[0, [995.0, 155.0], [1085.0, 65.0]]",-0.010632691000000001,0.0007041247003338198,0.12053397953671957,0.0
"[0, [995.0, 65.0], [1085.0, 65.0]]",0.0,0.0,0.04934844889136782,-0.0004
"[2, [635.0, 605.0], [815.0, 695.0]]",0.0,0.0,0.0,0.0
"[2, [725.0, 605.0], [815.0, 695.0]]",0.0,0.0,0.0,-0.0004
"[2, [725.0, 605.0], [725.0, 695.0]]",-0.0029,-0.010900000000000002,-0.001371622209400499,-0.0075
"[2, [815.0, 605.0], [725.0, 695.0]]",-0.000407164,-0.012856679571839596,-0.003735886743952695,-0.0075261
"[0, [905.0, 695.0], [815.0, 695.0]]",0.0,0.0,0.0,0.0
"[0, [905.0, 605.0], [815.0, 695.0]]",-0.006750277343687607,-0.010900000000000002,-0.005774563999999999,-0.007892602402632213
"[3, [995.0, 335.0], [995.0, 425.0]]",-0.0004,-0.0012217484309058838,-0.003385655629228922,0.0015432651344873282
"[3, [905.0, 335.0], [995.0, 425.0]]",-0.0010402066922451628,-0.0029261,-0.003282333083230329,-0.003296
"[1085.0, 335.0]",0.8067768092136726,0.029458300887405545,0.16161965838745382,0.02540069587691206
"[1, [1175.0, 245.0], [1175.0, 335.0]]",-0.0075,-0.0029,-0.0180036,0.0029771064899839807
"[1, [1085.0, 335.0], [1175.0, 515.0]]",0.0,0.0,0.0,0.0
"[1, [1085.0, 425.0], [1175.0, 515.0]]",-0.0005510726780179682,-0.0004,-0.010900000000000002,-0.0060595539977484625
